id,Gender,Salary,Marital,CheckingAccount,NumberOfSavingsAccounts,PersonalAccount,Mortgage,PensionPlan,Region,Status
12181,Female,44104.2,Single,Checking Account,3,Personal Account,No Mortgage,No Pension Plan 3,Village,0
12182,Male,55616.2,Single,No Checking Account,3,Personal Account,No Mortgage,No Pension Plan 3,City,1
12183,Female,25182.8,Married,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,City,1
12184,Male,32788.8,Married,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,City,0
12185,Male,48052.2,Married,No Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,City,0
12186,Male,63366.2,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,City,0
12187,Female,31050,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
12188,Female,45124.4,Single,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,Village,1
12189,Male,31697.4,Married,Checking Account,0,No Personal Account,Mortgage,Pension Plan 3,Suburban,1
12190,Female,62191.2,Married,No Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,City,0
12191,Male,49629,Married,No Checking Account,1,Personal Account,Mortgage,Pension Plan 3,Village,0
12192,Female,50858.6,Single,Checking Account,2,Personal Account,Mortgage,No Pension Plan 3,City,1
12193,Female,69733,Single,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Land,0
12194,Male,85158.2,Married,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,1
12195,Female,82254.8,Married,Checking Account,0,No Personal Account,No Mortgage,Pension Plan 3,City,1
12196,Female,19980.22,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
12197,Male,15897.24,Married,No Checking Account,1,No Personal Account,Mortgage,No Pension Plan 3,City,1
12198,Male,61741.6,Married,Checking Account,2,Personal Account,Mortgage,Pension Plan 3,Village,0
12199,Female,24251.6,Single,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,City,1
12200,Female,30697.8,Married,No Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Land,1
12201,Male,53415.8,Married,Checking Account,1,Personal Account,Mortgage,No Pension Plan 3,City,0
12202,Female,23208.8,Married,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,1
12203,Male,30999.8,Married,No Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,0
12204,Male,66177,Single,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,Village,1
12205,Female,69027.2,Married,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,City,0
12206,Male,64791,Married,Checking Account,3,Personal Account,No Mortgage,Pension Plan 3,Village,1
12207,Male,93266,Married,Checking Account,0,No Personal Account,No Mortgage,Pension Plan 3,Land,1
12208,Male,26079.8,Married,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
12209,Male,25363.8,Single,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,0
12210,Female,48063,Married,Checking Account,2,Personal Account,Mortgage,Pension Plan 3,City,1
12211,Male,74661,Single,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,Village,0
12212,Male,50666.4,Married,No Checking Account,3,No Personal Account,Mortgage,Pension Plan 3,City,1
12213,Female,74188.4,Married,No Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,1
12214,Male,67261.2,Single,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Village,0
12215,Male,86456.4,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,City,0
12216,Female,95593.6,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
12217,Female,43460.6,Married,Checking Account,2,No Personal Account,No Mortgage,No Pension Plan 3,Village,1
12218,Male,20088.2,Married,Checking Account,3,Personal Account,Mortgage,No Pension Plan 3,City,1
12219,Male,34540.2,Single,No Checking Account,0,No Personal Account,No Mortgage,Pension Plan 3,Village,0
12220,Female,91530,Married,Checking Account,3,Personal Account,No Mortgage,Pension Plan 3,Land,0
12221,Male,59051,Single,Checking Account,2,No Personal Account,Mortgage,No Pension Plan 3,Land,1
12222,Female,109727.6,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Land,0
12223,Female,41598,Married,Checking Account,1,No Personal Account,Mortgage,No Pension Plan 3,Village,0
12224,Female,66056.6,Single,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,Land,0
12225,Male,90063.8,Single,Checking Account,3,No Personal Account,No Mortgage,Pension Plan 3,Land,0
12226,Male,78021.6,Married,No Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,City,0
12227,Female,50515.4,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Village,1
12228,Female,85207.8,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
12229,Male,28185.4,Married,Checking Account,3,Personal Account,No Mortgage,Pension Plan 3,Village,1
12230,Female,42700.6,Single,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Land,0
12231,Male,46492.8,Single,No Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,City,1
12232,Male,83219,Married,Checking Account,3,Personal Account,Mortgage,No Pension Plan 3,Land,1
12233,Female,33432.2,Single,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Suburban,1
12234,Female,72872.8,Married,No Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Suburban,1
12235,Female,119007.6,Married,Checking Account,2,Personal Account,Mortgage,Pension Plan 3,Village,0
12236,Female,62669.6,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Village,0
12237,Female,28097.8,Married,No Checking Account,2,Personal Account,Mortgage,Pension Plan 3,City,1
12238,Female,78410.6,Single,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,0
12239,Female,84347.8,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Land,1
12240,Female,110526,Single,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,City,0
12241,Male,74190.4,Married,Checking Account,3,Personal Account,No Mortgage,No Pension Plan 3,City,1
12242,Female,45582.8,Married,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
12243,Female,34481.2,Married,No Checking Account,1,No Personal Account,Mortgage,Pension Plan 3,Village,1
12244,Male,97949.6,Married,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,Village,1
12245,Male,37846,Married,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,City,0
12246,Male,102408.4,Married,Checking Account,0,No Personal Account,Mortgage,No Pension Plan 3,Suburban,0
12247,Male,40472.4,Married,No Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Village,1
12248,Female,37720.6,Single,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,City,1
12249,Male,51465,Married,Checking Account,0,No Personal Account,No Mortgage,Pension Plan 3,Land,1
12250,Female,56480.8,Married,Checking Account,3,Personal Account,No Mortgage,Pension Plan 3,Suburban,1
12251,Male,56387.2,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Land,0
12252,Male,72865.6,Single,No Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Village,0
12253,Male,109237.6,Married,Checking Account,2,No Personal Account,Mortgage,No Pension Plan 3,Village,0
12254,Male,49521.6,Married,Checking Account,1,Personal Account,Mortgage,No Pension Plan 3,City,0
12255,Male,46712.2,Single,No Checking Account,2,No Personal Account,No Mortgage,Pension Plan 3,Land,1
12256,Female,16287.5,Married,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,Suburban,0
12257,Male,52925,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Village,1
12258,Male,40934.6,Married,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Land,1
12259,Female,43012.4,Married,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Village,0
12260,Female,30630.6,Married,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,Village,0
12261,Male,37751.4,Married,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,1
12262,Female,25954.4,Married,No Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,City,1
12263,Female,41417,Single,No Checking Account,3,Personal Account,No Mortgage,No Pension Plan 3,Village,1
12264,Female,15098.76,Single,No Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Village,1
12265,Female,49808,Married,No Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,City,1
12266,Male,48143.6,Married,No Checking Account,1,Personal Account,Mortgage,No Pension Plan 3,Land,0
12267,Male,19179.82,Single,Checking Account,1,Personal Account,Mortgage,No Pension Plan 3,Village,1
12268,Male,17125.72,Single,No Checking Account,1,No Personal Account,Mortgage,No Pension Plan 3,City,1
12269,Female,53415,Single,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Village,1
12270,Male,68041,Married,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
12271,Male,98351.4,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,1
12272,Male,39452.6,Married,No Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,City,1
12273,Male,48693.2,Married,Checking Account,3,Personal Account,No Mortgage,Pension Plan 3,City,1
12274,Male,53998.8,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Land,0
12275,Female,83116.2,Married,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,Village,0
12276,Female,112680.6,Single,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,0
12277,Male,75117,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Village,1
12278,Female,60198.6,Married,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,0
12279,Male,30509.6,Married,No Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,City,0
12280,Male,72172.2,Married,No Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,City,0
12281,Female,35310,Married,Checking Account,1,Personal Account,Mortgage,No Pension Plan 3,City,0
12282,Male,113317.8,Single,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Land,0
12283,Female,75413,Single,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,1
12284,Female,37032,Married,Checking Account,2,Personal Account,Mortgage,Pension Plan 3,City,1
12285,Female,59244,Single,Checking Account,0,No Personal Account,Mortgage,Pension Plan 3,City,1
12286,Male,65339.8,Married,Checking Account,1,Personal Account,Mortgage,Pension Plan 3,Land,0
12287,Female,36551,Married,No Checking Account,0,No Personal Account,Mortgage,No Pension Plan 3,City,0
12288,Female,68820,Married,No Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,Village,0
12289,Male,69733.8,Married,No Checking Account,2,Personal Account,Mortgage,Pension Plan 3,City,1
12290,Female,43593.2,Married,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
12291,Female,126260.2,Married,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Suburban,0
12292,Male,29992.8,Married,Checking Account,1,No Personal Account,No Mortgage,Pension Plan 3,City,1
12293,Female,98049.8,Married,Checking Account,3,Personal Account,No Mortgage,No Pension Plan 3,Land,0
12294,Male,32499.6,Married,No Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,0
12295,Male,72384.2,Married,No Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Suburban,0
12296,Male,35679.8,Married,Checking Account,1,No Personal Account,Mortgage,No Pension Plan 3,City,0
12297,Female,37604.8,Single,No Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,City,0
12298,Male,97440.6,Married,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,0
12299,Male,29171.8,Single,No Checking Account,2,Personal Account,Mortgage,No Pension Plan 3,City,1
12300,Female,41638,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,0
12301,Male,52155.6,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Village,0
12302,Female,83254.2,Married,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,Village,1
12303,Male,33954.6,Married,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
12304,Male,38025.6,Single,No Checking Account,3,Personal Account,No Mortgage,Pension Plan 3,City,1
12305,Male,25529.6,Married,Checking Account,1,Personal Account,Mortgage,No Pension Plan 3,City,0
12306,Male,28777.2,Single,No Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,0
12307,Male,118818.2,Single,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,0
12308,Female,29920.4,Married,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,City,1
12309,Male,79333.2,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,1
12310,Male,41543.8,Single,Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,City,0
12311,Male,48948.2,Single,No Checking Account,0,No Personal Account,No Mortgage,Pension Plan 3,City,0
12312,Male,66247.4,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Village,0
12313,Male,28866.8,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,0
12314,Male,26351,Single,No Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,Village,0
12315,Male,19648.74,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
12316,Male,35220.6,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Suburban,1
12317,Female,30312.4,Married,No Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Suburban,1
12318,Female,63548.2,Married,Checking Account,3,Personal Account,Mortgage,Pension Plan 3,City,1
12319,Male,63387,Single,Checking Account,0,No Personal Account,No Mortgage,Pension Plan 3,Village,0
12320,Female,57197.4,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,1
12321,Female,52523.4,Single,No Checking Account,2,No Personal Account,No Mortgage,Pension Plan 3,City,1
12322,Male,84248.2,Married,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,City,0
12323,Female,78617.4,Married,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,City,0
12324,Female,87060,Married,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,City,1
12325,Male,99748.8,Married,Checking Account,3,Personal Account,No Mortgage,No Pension Plan 3,Land,0
12326,Female,54869.6,Single,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Land,0
12327,Male,100949.2,Married,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,0
12328,Male,49776.4,Single,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Village,0
12329,Male,56043.2,Single,No Checking Account,0,Personal Account,Mortgage,Pension Plan 3,Land,0
12330,Male,24559,Single,No Checking Account,0,No Personal Account,No Mortgage,Pension Plan 3,City,0
12331,Female,60378.8,Married,No Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,0
12332,Male,57938.8,Single,No Checking Account,1,Personal Account,Mortgage,No Pension Plan 3,City,1
12333,Male,28117,Married,No Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,Suburban,0
12334,Female,60808.6,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Village,1
12335,Female,82876.4,Single,Checking Account,3,No Personal Account,No Mortgage,No Pension Plan 3,Land,1
12336,Female,33422.6,Single,Checking Account,1,Personal Account,Mortgage,No Pension Plan 3,City,0
12337,Male,104511.8,Single,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Village,0
12338,Female,35733.8,Married,Checking Account,2,Personal Account,Mortgage,No Pension Plan 3,City,1
12339,Female,36135,Married,Checking Account,2,No Personal Account,No Mortgage,No Pension Plan 3,Land,1
12340,Male,25647.4,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,1
12341,Female,22598.6,Married,No Checking Account,2,No Personal Account,No Mortgage,Pension Plan 3,Land,1
12342,Female,112062.2,Single,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,0
12343,Male,70527,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,City,0
12344,Female,39936.2,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,1
12345,Male,55651,Married,Checking Account,2,No Personal Account,No Mortgage,Pension Plan 3,Land,1
12346,Male,75547.8,Single,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,Suburban,1
12347,Female,15212.5,Single,No Checking Account,3,No Personal Account,No Mortgage,Pension Plan 3,City,1
12348,Male,42768.8,Married,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Land,1
12349,Male,40694,Married,Checking Account,3,Personal Account,No Mortgage,No Pension Plan 3,Village,1
12350,Male,42664.6,Married,No Checking Account,3,Personal Account,No Mortgage,Pension Plan 3,Village,1
12351,Male,115343.4,Single,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,City,1
12352,Female,72115.6,Married,Checking Account,1,Personal Account,Mortgage,Pension Plan 3,Village,0
12353,Male,28581,Married,No Checking Account,2,Personal Account,Mortgage,No Pension Plan 3,City,1
12354,Female,35765.8,Married,No Checking Account,1,No Personal Account,No Mortgage,No Pension Plan 3,Village,0
12355,Female,21258.2,Single,Checking Account,3,Personal Account,Mortgage,No Pension Plan 3,Land,1
12356,Female,48525.6,Single,No Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,0
12357,Female,52195.8,Single,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,Suburban,1
12358,Female,46742,Married,No Checking Account,2,Personal Account,Mortgage,No Pension Plan 3,Village,1
12359,Female,42991.2,Single,No Checking Account,3,Personal Account,Mortgage,No Pension Plan 3,Village,1
12360,Male,24333.8,Single,No Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,Village,1
12361,Male,34360.4,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Suburban,1
12362,Female,57764.6,Married,Checking Account,1,Personal Account,Mortgage,No Pension Plan 3,Village,0
12363,Female,43224.4,Married,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Village,1
12364,Female,92716.8,Married,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,1
12365,Male,38332,Single,Checking Account,0,No Personal Account,No Mortgage,Pension Plan 3,City,0
12366,Male,35843.6,Married,No Checking Account,1,No Personal Account,No Mortgage,Pension Plan 3,City,0
12367,Male,66458,Single,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Village,0
12368,Female,60792.2,Single,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Suburban,0
12369,Female,69250.4,Married,No Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Village,1
12370,Male,33345.6,Single,No Checking Account,3,Personal Account,Mortgage,Pension Plan 3,Village,1
12371,Female,121495,Single,Checking Account,2,Personal Account,Mortgage,No Pension Plan 3,Suburban,0
12372,Female,112788.6,Single,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,0
12373,Male,26472.8,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Village,1
12374,Male,56818.8,Married,No Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,City,0
12375,Female,54113,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,1
12376,Male,18725.16,Married,No Checking Account,0,Personal Account,Mortgage,Pension Plan 3,Land,0
12377,Female,57405.4,Single,Checking Account,1,Personal Account,Mortgage,No Pension Plan 3,Suburban,0
12378,Male,44732.2,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Village,0
12379,Female,48955,Single,Checking Account,0,No Personal Account,Mortgage,No Pension Plan 3,Land,1
12380,Male,73944.8,Married,No Checking Account,1,Personal Account,Mortgage,No Pension Plan 3,Village,0
12381,Male,44655.6,Married,No Checking Account,1,No Personal Account,No Mortgage,No Pension Plan 3,City,0
12382,Female,31220.4,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
12383,Male,108629,Married,Checking Account,1,No Personal Account,No Mortgage,Pension Plan 3,City,0
12384,Female,78351.6,Married,Checking Account,3,Personal Account,Mortgage,No Pension Plan 3,City,1
12385,Female,27478,Married,Checking Account,3,Personal Account,No Mortgage,No Pension Plan 3,City,1
12386,Male,18971.68,Married,No Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,Village,1
12387,Male,49351.4,Married,Checking Account,1,Personal Account,Mortgage,Pension Plan 3,City,0
12388,Female,56507.2,Married,No Checking Account,3,Personal Account,No Mortgage,No Pension Plan 3,City,1
12389,Male,28273,Married,Checking Account,1,No Personal Account,No Mortgage,No Pension Plan 3,City,1
12390,Female,74324.2,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Land,0
12391,Male,27038.4,Single,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,0
12392,Female,78507.2,Single,Checking Account,0,No Personal Account,No Mortgage,Pension Plan 3,City,0
12393,Male,92647.6,Married,Checking Account,2,Personal Account,Mortgage,Pension Plan 3,Land,0
12394,Female,41901.4,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Village,1
12395,Male,44991.4,Married,Checking Account,0,No Personal Account,Mortgage,No Pension Plan 3,Village,1
12396,Male,65097.8,Married,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,Village,1
12397,Female,49166.8,Single,Checking Account,2,Personal Account,Mortgage,Pension Plan 3,Land,1
12398,Male,17278.48,Married,No Checking Account,2,No Personal Account,No Mortgage,No Pension Plan 3,Land,1
12399,Female,34279,Single,No Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,1
12400,Female,27335.4,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
12401,Female,16324.84,Married,Checking Account,1,Personal Account,Mortgage,Pension Plan 3,City,1
12402,Female,30699.2,Married,Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,Village,1
12403,Female,58462.8,Married,Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,Village,1
12404,Male,82924.6,Married,Checking Account,3,Personal Account,Mortgage,No Pension Plan 3,Land,1
12405,Female,114796.2,Single,Checking Account,3,Personal Account,No Mortgage,No Pension Plan 3,Land,0
12406,Female,23041.6,Married,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Land,1
12407,Male,104234.6,Single,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,0
12408,Male,52562.8,Single,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Land,0
12409,Male,51366.8,Single,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Village,1
12410,Female,23841.4,Single,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,City,1
12411,Male,61317.4,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Village,1
12412,Male,73292.8,Single,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,City,0
12413,Female,61520.8,Single,No Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Village,0
12414,Female,32219.8,Single,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Land,1
12415,Female,36073.4,Married,Checking Account,0,No Personal Account,No Mortgage,Pension Plan 3,Village,1
12416,Male,85256.6,Single,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,Land,1
12417,Male,44220.2,Single,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,1
12418,Female,75378.2,Single,Checking Account,1,Personal Account,Mortgage,No Pension Plan 3,Village,0
12419,Female,46343.6,Single,Checking Account,2,No Personal Account,No Mortgage,No Pension Plan 3,City,1
12420,Male,43902.6,Single,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,Suburban,1
12421,Male,76206.8,Single,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,0
12422,Male,45765.8,Married,No Checking Account,0,No Personal Account,Mortgage,Pension Plan 3,Land,0
12423,Female,22087.4,Married,Checking Account,1,No Personal Account,Mortgage,Pension Plan 3,Village,1
12424,Male,48055.2,Single,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Village,0
12425,Male,56990.2,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Suburban,1
12426,Female,18930.42,Single,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Village,0
12427,Male,69704.6,Married,Checking Account,1,No Personal Account,Mortgage,No Pension Plan 3,City,0
12428,Male,42536.8,Married,No Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,City,0
12429,Female,101698.4,Single,Checking Account,1,No Personal Account,Mortgage,No Pension Plan 3,Land,0
12430,Female,37111.8,Married,No Checking Account,3,Personal Account,No Mortgage,No Pension Plan 3,Village,1
12431,Female,105539.8,Married,Checking Account,3,Personal Account,No Mortgage,Pension Plan 3,Land,0
12432,Female,23202.8,Married,Checking Account,2,Personal Account,Mortgage,No Pension Plan 3,City,1
12433,Female,59083.4,Married,Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,Village,1
12434,Male,35722,Married,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,Suburban,1
12435,Female,42084,Married,No Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,Suburban,0
12436,Male,53376.2,Married,Checking Account,1,No Personal Account,Mortgage,No Pension Plan 3,Village,0
12437,Male,53801.2,Married,No Checking Account,2,No Personal Account,Mortgage,No Pension Plan 3,City,1
12438,Male,76161.8,Married,Checking Account,1,No Personal Account,Mortgage,Pension Plan 3,City,1
12439,Male,75108.2,Married,Checking Account,2,Personal Account,Mortgage,Pension Plan 3,Suburban,0
12440,Male,36369.2,Married,No Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,City,0
12441,Female,57729.8,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Suburban,1
12442,Male,96692.2,Married,Checking Account,1,No Personal Account,No Mortgage,Pension Plan 3,Land,0
12443,Male,106208.6,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,1
12444,Female,38833.6,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
12445,Male,47276.2,Married,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Land,1
12446,Female,84756.4,Married,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,Village,0
12447,Male,79490.6,Married,Checking Account,0,No Personal Account,Mortgage,Pension Plan 3,Land,1
12448,Female,90379.6,Married,Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,City,1
12449,Male,75861.8,Married,Checking Account,0,No Personal Account,Mortgage,No Pension Plan 3,City,1
12450,Female,48084,Single,No Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,City,0
12451,Female,62414.2,Single,No Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,0
12452,Male,48848.6,Married,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,Village,1
12453,Female,49215.6,Single,Checking Account,1,Personal Account,Mortgage,No Pension Plan 3,Land,1
12454,Male,86114,Single,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Village,0
12455,Female,60397,Married,No Checking Account,0,Personal Account,Mortgage,Pension Plan 3,Suburban,0
12456,Female,100372.2,Married,Checking Account,2,Personal Account,Mortgage,No Pension Plan 3,Land,0
12457,Female,45832.2,Married,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Suburban,1
12458,Male,19185.46,Single,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Land,0
12459,Female,68507.2,Single,No Checking Account,3,Personal Account,No Mortgage,Pension Plan 3,City,1
12460,Female,45584.6,Married,Checking Account,1,No Personal Account,No Mortgage,Pension Plan 3,City,0
12461,Female,103241.6,Single,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Village,0
12462,Male,39837.8,Married,Checking Account,3,Personal Account,Mortgage,No Pension Plan 3,Village,1
12463,Male,59250.2,Married,No Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,Village,1
12464,Female,25098,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Village,1
